| NAME                 | LEFT         | RIGHT        | CENTER       | LIBERTARIAN  |
| Iz                   | 1.0000000000 | 0.0000000000 | 0.0000000000 | 0.0000000000 |
| De                   | 0.0000000000 | 1.0000000000 | 0.0000000000 | 0.0000000000 |
| Ce                   | 0.0000000000 | 0.0000000000 | 1.0000000000 | 0.0000000000 |
| Li                   | 0.0000000000 | 0.0000000000 | 0.0000000000 | 1.0000000000 |
| 01                   | 1.0000000000 | 0.0000000000 | 0.0000000000 | 0.0000000000 |
| 02                   | 1.0000000000 | 0.0000000000 | 0.0000000000 | 0.0000000000 |
| 03                   | 1.0000000000 | 0.0000000000 | 0.0000000000 | 0.0000000000 |
| 04                   | 0.7173401198 | 0.0000000000 | 0.2826598802 | 0.0000000000 |
| 05                   | 0.3840906990 | 0.0000000000 | 0.0000000000 | 0.6159093010 |
| 06                   | 0.4830752530 | 0.2625639875 | 0.1694969329 | 0.0848638266 |
| 07                   | 0.0000000000 | 0.0000000000 | 1.0000000000 | 0.0000000000 |
| 08                   | 0.0000000000 | 0.0000000000 | 1.0000000000 | 0.0000000000 |
| 09                   | 0.0000000000 | 0.0000000000 | 1.0000000000 | 0.0000000000 |
| 10                   | 0.0000000000 | 0.0000000000 | 1.0000000000 | 0.0000000000 |
